zone_count,door_count,window_count,zones_missing_door,zones_missing_window,gpt_compliance_score,gpt_status_encoded,Final_Approved_Score,Final_Status
5,4,5,2,0,58,1,55,Review
1,2,0,1,1,43,0,51,Review
2,2,3,0,1,86,2,78,Review
3,2,3,0,0,100,2,100,Pass
3,2,3,0,0,100,2,100,Pass
3,4,2,0,1,82,2,74,Review
4,4,6,1,1,63,1,56,Review
3,5,5,1,2,51,1,51,Review
4,6,6,2,0,57,1,60,Review
4,6,6,0,2,68,1,63,Review
2,1,1,0,0,97,2,89,Pass
2,1,3,0,0,97,2,92,Pass
2,4,1,0,0,100,2,93,Pass
3,4,2,0,0,100,2,100,Pass
0,1,0,0,0,53,1,53,Review
2,1,3,0,0,100,2,100,Pass
2,3,4,0,0,100,2,92,Pass
3,4,2,0,0,100,2,100,Pass
3,5,5,0,0,97,2,90,Pass
3,4,5,0,0,97,2,96,Pass
5,4,4,2,0,60,1,58,Review
5,5,5,0,0,100,2,100,Pass
1,3,3,0,1,82,2,74,Review
5,7,5,2,1,43,0,37,Reject
2,3,4,2,0,58,1,51,Review
2,2,3,1,0,79,1,81,Pass
3,4,5,2,1,46,0,47,Reject
2,3,3,2,0,57,1,55,Review
2,4,4,0,0,100,2,100,Pass
2,2,1,0,0,99,2,100,Pass
2,2,2,2,0,59,1,59,Review
2,2,4,0,0,100,2,100,Pass
2,1,1,1,0,81,2,86,Pass
3,3,3,2,1,44,0,37,Reject
4,6,6,0,0,100,2,100,Pass
3,3,5,0,2,68,1,68,Review
3,3,2,0,1,84,2,89,Pass
2,2,3,0,0,100,2,100,Pass
2,2,4,0,0,100,2,100,Pass
2,2,2,2,1,43,0,41,Reject
0,0,2,0,0,48,0,46,Reject
3,4,2,0,0,100,2,100,Pass
3,2,2,2,0,60,1,59,Review
3,3,5,0,0,100,2,100,Pass
1,3,0,0,0,78,1,72,Review
1,0,1,0,1,63,1,65,Review
2,3,2,0,2,73,1,68,Review
2,2,3,0,0,100,2,100,Pass
3,5,4,0,0,100,2,100,Pass
3,3,5,0,0,98,2,95,Pass
2,4,2,0,0,97,2,96,Pass
1,1,3,1,1,67,1,59,Review
2,4,4,1,0,80,2,74,Review
1,0,3,1,0,62,1,68,Review
2,2,3,0,1,86,2,86,Pass
2,3,1,0,0,100,2,95,Pass
3,2,4,1,0,81,2,79,Review
5,7,5,0,1,88,2,80,Pass
3,4,3,0,1,85,2,89,Pass
3,4,4,1,0,83,2,89,Pass
2,2,4,2,0,60,1,63,Review
2,1,1,0,1,84,2,92,Pass
1,1,3,0,0,100,2,95,Pass
2,2,2,1,0,78,1,81,Pass
3,5,3,1,0,78,1,81,Pass
3,5,3,1,0,82,2,86,Pass
5,5,5,2,1,47,0,42,Reject
0,0,2,0,0,47,0,47,Reject
2,3,4,0,0,98,2,100,Pass
5,5,6,1,0,79,1,80,Pass
2,4,2,2,1,44,0,43,Reject
2,2,3,0,0,100,2,92,Pass
4,3,6,1,2,50,1,47,Reject
5,6,5,0,0,98,2,90,Pass
2,1,3,0,1,86,2,80,Pass
4,5,6,0,2,72,1,65,Review
1,3,2,1,0,78,1,84,Pass
2,3,4,1,0,79,1,81,Pass
2,2,4,0,0,97,2,100,Pass
5,6,6,2,0,58,1,56,Review
2,2,3,0,2,72,1,66,Review
4,5,6,0,2,73,1,69,Review
5,4,5,2,0,63,1,64,Review
2,2,1,0,1,84,2,84,Pass
4,3,6,2,2,28,0,26,Reject
2,2,2,1,1,68,1,65,Review
3,2,2,0,0,98,2,94,Pass
3,2,4,0,1,82,2,82,Pass
1,0,3,1,1,42,0,49,Reject
2,2,1,0,0,100,2,100,Pass
3,4,5,0,2,73,1,76,Review
3,2,4,0,0,100,2,100,Pass
2,1,2,1,0,77,1,82,Pass
2,4,4,0,0,98,2,100,Pass
3,5,5,0,0,100,2,100,Pass
3,4,2,0,0,99,2,100,Pass
1,0,1,0,0,78,1,83,Pass
3,2,3,0,1,88,2,84,Pass
4,3,4,1,1,66,1,65,Review
1,2,1,0,0,97,2,100,Pass
5,6,6,1,2,53,1,54,Review
3,5,5,0,0,98,2,97,Pass
2,4,2,0,1,87,2,81,Pass
4,6,3,0,1,82,2,77,Review
2,2,4,0,0,100,2,95,Pass
4,6,6,0,0,100,2,100,Pass
4,3,6,0,1,85,2,86,Pass
3,5,5,0,1,82,2,86,Pass
2,2,4,0,2,67,1,67,Review
0,0,2,0,0,47,0,55,Review
3,5,4,0,0,100,2,100,Pass
2,2,4,1,1,66,1,58,Review
2,4,1,1,1,66,1,59,Review
2,4,4,1,0,79,1,85,Pass
4,6,4,0,1,84,2,92,Pass
4,5,5,1,1,63,1,58,Review
1,3,3,0,0,98,2,96,Pass
4,6,4,0,2,67,1,60,Review
3,2,3,1,1,62,1,70,Review
3,2,4,0,1,86,2,89,Pass
2,4,3,0,0,100,2,100,Pass
2,4,3,2,2,29,0,34,Reject
5,7,6,0,1,84,2,84,Pass
2,1,4,0,0,100,2,93,Pass
2,4,3,2,2,29,0,28,Reject
2,3,4,0,0,100,2,100,Pass
2,2,2,0,0,98,2,94,Pass
4,5,6,1,0,82,2,82,Pass
3,2,3,1,2,51,1,55,Review
3,3,5,0,1,86,2,84,Pass
4,6,3,2,1,42,0,45,Reject
2,1,1,0,0,100,2,100,Pass
4,6,6,0,0,100,2,99,Pass
4,3,3,0,0,100,2,100,Pass
3,4,3,1,1,67,1,60,Review
2,3,4,0,0,100,2,93,Pass
3,2,2,1,0,83,2,91,Pass
0,0,1,0,0,52,1,47,Reject
1,1,3,1,1,65,1,64,Review
2,3,4,0,0,98,2,100,Pass
3,4,3,0,0,100,2,100,Pass
4,4,5,0,0,100,2,100,Pass
0,1,2,0,0,69,1,74,Review
2,4,2,2,1,47,0,51,Review
3,3,5,1,0,77,1,84,Pass
4,4,3,1,2,48,0,47,Reject
3,2,2,0,0,100,2,100,Pass
5,4,6,1,2,53,1,61,Review
3,3,3,0,0,97,2,92,Pass
0,2,0,0,0,48,0,48,Reject
2,1,2,1,0,83,2,81,Pass
1,1,1,0,1,86,2,90,Pass
4,3,3,0,0,100,2,99,Pass
2,3,3,1,0,80,2,73,Review
3,3,5,0,0,97,2,100,Pass
3,5,5,0,0,98,2,100,Pass
2,3,3,2,0,59,1,58,Review
2,1,1,0,0,100,2,93,Pass
1,2,1,1,1,64,1,67,Review
4,5,5,1,1,64,1,64,Review
3,4,4,0,0,100,2,100,Pass
3,5,5,0,0,97,2,100,Pass
2,1,1,0,0,100,2,100,Pass
5,4,7,0,0,98,2,99,Pass
3,5,2,0,0,100,2,100,Pass
3,5,2,1,1,65,1,60,Review
3,4,2,1,1,64,1,60,Review
4,5,3,0,0,100,2,100,Pass
0,1,1,0,0,67,1,63,Review
2,3,4,2,0,59,1,55,Review
5,4,4,0,0,97,2,90,Pass
2,3,2,0,0,98,2,100,Pass
5,5,5,0,0,97,2,94,Pass
4,6,6,0,0,100,2,100,Pass
5,7,7,0,0,97,2,100,Pass
2,3,3,2,1,47,0,46,Reject
2,2,2,0,1,88,2,83,Pass
2,1,2,0,2,69,1,63,Review
4,4,5,0,0,99,2,98,Pass
2,2,3,1,0,79,1,82,Pass
3,4,3,1,0,79,1,80,Pass
1,3,1,0,1,82,2,81,Pass
2,1,2,0,0,100,2,100,Pass
2,2,2,0,0,98,2,93,Pass
3,5,3,0,1,88,2,85,Pass
4,4,3,0,0,99,2,92,Pass
3,2,4,0,1,84,2,92,Pass
3,5,5,1,2,50,1,55,Review
2,3,2,1,2,49,0,57,Review
2,3,2,0,0,100,2,100,Pass
3,5,3,1,1,64,1,66,Review
2,3,2,1,1,64,1,71,Review
4,6,5,1,0,80,2,80,Pass
2,2,3,0,0,98,2,100,Pass
3,5,2,1,0,78,1,84,Pass
1,2,1,0,1,88,2,83,Pass
2,4,4,0,2,67,1,63,Review
2,1,3,0,0,100,2,100,Pass
2,4,4,1,0,83,2,78,Review
3,2,3,1,0,81,2,77,Review
2,3,4,0,0,100,2,94,Pass
5,7,4,2,1,42,0,48,Reject
1,1,2,0,0,100,2,100,Pass
4,6,5,0,1,85,2,77,Review
2,1,4,0,1,82,2,88,Pass
2,1,2,1,0,80,2,79,Review
5,4,5,0,1,85,2,84,Pass
5,4,7,0,0,98,2,100,Pass
5,4,6,0,2,70,1,66,Review
1,0,3,0,0,77,1,83,Pass
4,6,5,0,0,99,2,99,Pass
3,5,3,0,0,100,2,100,Pass
3,2,2,2,1,43,0,38,Reject
3,3,2,0,0,100,2,100,Pass
0,1,0,0,0,50,1,50,Review
2,2,2,0,0,100,2,100,Pass
2,1,3,2,0,63,1,67,Review
1,0,2,0,0,80,2,74,Review
2,3,2,0,0,99,2,91,Pass
5,7,7,0,0,97,2,98,Pass
3,2,4,2,2,31,0,38,Reject
4,4,5,0,1,88,2,83,Pass
0,1,0,0,0,48,0,43,Reject
1,2,2,0,1,83,2,86,Pass
2,3,4,0,0,97,2,90,Pass
3,3,3,2,1,43,0,50,Review
1,3,1,1,1,64,1,62,Review
0,0,0,0,0,32,0,27,Reject
1,2,3,0,1,87,2,93,Pass
3,4,5,0,1,84,2,85,Pass
2,2,4,1,0,82,2,89,Pass
2,4,4,0,0,97,2,89,Pass
1,0,2,0,0,77,1,82,Pass
3,3,4,1,0,78,1,77,Review
3,5,4,0,1,82,2,77,Review
0,0,1,0,0,49,0,48,Reject
3,4,2,0,1,85,2,88,Pass
3,4,3,0,0,100,2,100,Pass
4,3,6,0,0,97,2,100,Pass
3,4,5,0,0,100,2,100,Pass
3,2,2,1,0,80,2,75,Review
3,5,5,0,0,98,2,100,Pass
3,3,4,0,1,87,2,84,Pass
1,0,0,1,0,37,0,29,Reject
4,5,3,0,1,83,2,78,Review
3,3,5,0,0,100,2,100,Pass
3,2,5,1,2,48,0,51,Review
2,1,2,1,0,83,2,90,Pass
3,2,5,0,1,87,2,95,Pass
5,4,6,2,1,48,0,47,Reject
2,2,3,0,0,100,2,100,Pass
2,3,1,0,0,100,2,100,Pass
3,3,2,0,1,83,2,87,Pass
4,6,4,0,2,68,1,74,Review
0,0,0,0,0,30,0,36,Reject
3,2,4,1,0,77,1,76,Review
2,2,1,0,0,97,2,91,Pass
2,4,2,2,0,61,1,68,Review
2,1,3,1,1,68,1,75,Review
0,0,2,0,0,47,0,48,Reject
2,3,4,0,1,85,2,86,Pass
2,1,1,1,1,63,1,60,Review
3,4,4,0,1,85,2,92,Pass
4,5,4,0,0,100,2,100,Pass
3,2,5,1,1,63,1,57,Review
5,5,4,1,0,83,2,87,Pass
2,1,2,0,0,100,2,100,Pass
3,5,4,1,0,82,2,76,Review
3,2,3,0,1,85,2,82,Pass
2,3,4,0,0,97,2,92,Pass
2,3,1,0,0,99,2,100,Pass
3,4,3,1,0,81,2,83,Pass
2,1,3,1,0,79,1,71,Review
2,3,1,0,0,100,2,100,Pass
4,5,6,0,2,72,1,70,Review
3,4,5,0,1,84,2,92,Pass
1,1,0,1,0,57,1,49,Reject
2,4,1,1,2,52,1,57,Review
2,2,1,1,1,65,1,66,Review
3,3,2,0,0,100,2,100,Pass
3,4,3,0,0,97,2,100,Pass
2,4,2,0,1,87,2,80,Pass
3,3,5,1,0,77,1,85,Pass
3,2,3,0,0,97,2,92,Pass
4,6,4,0,1,85,2,79,Review
2,2,2,0,2,69,1,75,Review
2,4,1,0,0,100,2,100,Pass
2,3,1,0,0,99,2,100,Pass
4,3,6,0,0,97,2,97,Pass
2,1,4,0,0,97,2,100,Pass
1,3,1,0,0,99,2,91,Pass
3,3,4,0,1,82,2,78,Review
5,4,7,0,1,83,2,85,Pass
2,3,3,0,0,99,2,93,Pass
3,2,2,0,0,100,2,100,Pass
2,4,3,0,1,87,2,91,Pass
5,5,6,1,0,77,1,78,Review
3,3,3,0,0,100,2,100,Pass
2,4,2,1,1,62,1,65,Review
3,3,4,0,0,99,2,100,Pass
0,0,1,0,0,50,1,54,Review
2,4,1,1,0,78,1,73,Review
4,6,6,0,2,70,1,77,Review
2,2,1,0,0,100,2,100,Pass
3,3,5,0,1,83,2,87,Pass
4,3,6,0,0,97,2,97,Pass
4,4,4,0,2,71,1,72,Review
3,4,5,0,0,98,2,100,Pass
2,2,2,1,0,79,1,79,Review
2,3,1,0,0,100,2,98,Pass
2,1,3,0,1,85,2,88,Pass
3,2,2,0,1,87,2,85,Pass
5,4,5,0,1,88,2,88,Pass
3,4,4,0,1,87,2,90,Pass
3,5,3,0,1,85,2,78,Review
0,0,1,0,0,47,0,39,Reject
3,2,3,0,2,73,1,67,Review
3,2,2,0,0,99,2,97,Pass
3,4,4,0,2,72,1,72,Review
2,2,1,0,2,73,1,79,Review
4,3,3,0,1,84,2,77,Review
2,2,3,0,1,85,2,93,Pass
2,1,4,0,1,88,2,89,Pass
3,2,5,0,0,99,2,95,Pass
2,2,3,1,1,63,1,57,Review
3,3,5,0,1,85,2,89,Pass
2,2,4,0,2,68,1,67,Review
4,3,6,2,0,61,1,54,Review
3,2,2,2,1,44,0,40,Reject
3,4,2,0,1,83,2,87,Pass
2,3,3,0,1,82,2,77,Review
4,5,6,0,1,85,2,93,Pass
3,2,4,1,1,63,1,59,Review
5,7,7,0,0,100,2,100,Pass
4,5,6,2,0,57,1,62,Review
4,5,4,2,0,60,1,65,Review
3,2,2,0,0,97,2,96,Pass
2,4,2,1,2,52,1,60,Review
2,4,1,0,0,100,2,92,Pass
0,0,1,0,0,51,1,44,Reject
4,4,5,0,0,97,2,100,Pass
3,5,3,0,1,84,2,87,Pass
3,3,5,0,0,97,2,97,Pass
5,6,6,0,0,100,2,92,Pass
1,1,1,0,0,100,2,100,Pass
2,4,1,0,0,98,2,99,Pass
3,4,5,1,0,79,1,84,Pass
1,3,0,1,0,61,1,57,Review
1,2,0,0,0,78,1,79,Review
2,4,3,0,0,98,2,99,Pass
3,4,5,0,2,68,1,75,Review
4,6,6,0,0,100,2,97,Pass
2,4,2,0,0,98,2,92,Pass
5,5,6,1,1,64,1,67,Review
5,6,4,0,0,99,2,100,Pass
5,5,6,0,0,99,2,100,Pass
3,5,2,0,0,100,2,99,Pass
2,1,3,1,0,82,2,77,Review
2,2,4,1,0,80,2,83,Pass
3,5,3,0,0,99,2,91,Pass
0,0,0,0,0,28,0,26,Reject
4,4,3,2,0,57,1,55,Review
4,6,4,0,0,100,2,100,Pass
3,3,2,1,2,51,1,49,Reject
3,2,2,1,1,62,1,54,Review
2,1,2,0,0,100,2,95,Pass
0,1,0,0,0,47,0,50,Review
2,4,4,0,1,88,2,91,Pass
5,7,6,0,0,100,2,96,Pass
2,1,3,2,1,42,0,43,Reject
4,4,6,0,0,98,2,100,Pass
5,7,6,1,0,81,2,87,Pass
3,2,3,0,1,86,2,86,Pass
5,5,5,2,0,57,1,50,Review
3,4,4,0,2,69,1,69,Review
1,1,3,0,0,100,2,100,Pass
3,4,4,0,2,68,1,63,Review
2,3,1,1,1,67,1,72,Review
5,6,6,0,0,100,2,97,Pass
3,2,4,0,1,82,2,90,Pass
2,3,1,1,0,81,2,74,Review
4,6,3,0,0,100,2,98,Pass
4,4,6,0,0,100,2,100,Pass
3,4,2,0,0,98,2,97,Pass
0,1,0,0,0,50,1,52,Review
3,5,3,2,1,44,0,51,Review
3,5,2,1,2,47,0,53,Review
3,5,3,0,0,100,2,100,Pass
2,1,1,0,1,85,2,87,Pass
3,4,2,0,1,85,2,90,Pass
2,2,2,0,0,99,2,100,Pass
4,3,4,1,1,65,1,60,Review
1,0,0,0,1,42,0,49,Reject
1,2,3,1,0,81,2,85,Pass
2,3,1,0,0,98,2,91,Pass
5,6,6,0,1,84,2,91,Pass
1,3,1,1,0,83,2,77,Review
3,3,4,0,2,67,1,59,Review
3,3,4,0,0,100,2,100,Pass
4,6,5,0,2,71,1,75,Review
3,5,2,0,0,100,2,100,Pass
2,1,4,2,2,27,0,27,Reject
5,4,7,0,2,67,1,65,Review
4,3,3,1,0,83,2,89,Pass
5,6,6,0,2,72,1,72,Review
2,2,1,0,0,99,2,100,Pass
5,5,4,0,1,87,2,86,Pass
2,2,1,1,1,64,1,72,Review
3,4,2,0,1,82,2,80,Pass
4,4,6,0,0,100,2,96,Pass
5,5,4,0,0,99,2,100,Pass
3,5,4,1,2,47,0,52,Review
4,6,5,0,0,100,2,100,Pass
1,3,0,0,0,80,2,73,Review
0,2,0,0,0,53,1,47,Reject
1,1,3,1,0,80,2,74,Review
2,2,1,0,0,100,2,100,Pass
2,4,3,0,0,100,2,100,Pass
4,4,5,0,0,99,2,98,Pass
3,5,2,0,2,71,1,78,Review
3,4,4,1,1,64,1,67,Review
5,7,7,0,0,100,2,93,Pass
1,2,2,0,1,87,2,93,Pass
2,4,1,0,0,99,2,96,Pass
2,1,1,1,1,68,1,70,Review
2,2,3,0,0,98,2,93,Pass
0,2,0,0,0,53,1,56,Review
4,4,3,0,0,100,2,95,Pass
1,1,1,1,0,83,2,86,Pass
2,4,2,1,0,80,2,84,Pass
2,1,2,0,0,100,2,100,Pass
3,2,5,1,0,80,2,76,Review
2,2,2,1,0,77,1,73,Review
3,4,3,0,0,100,2,100,Pass
3,4,5,0,2,73,1,79,Review
2,3,1,1,0,80,2,84,Pass
2,3,4,1,1,68,1,70,Review
5,4,7,0,1,85,2,80,Pass
2,2,3,1,0,77,1,83,Pass
1,3,1,0,1,83,2,77,Review
2,1,3,0,0,100,2,100,Pass
2,4,1,0,0,100,2,96,Pass
3,4,4,2,0,61,1,62,Review
